date,temp,s
2021-07-10,22.8,91.6
2021-07-11,26.7,74.1
2021-07-12,26.5,80.8
2021-07-13,25.9,88.4
2021-07-14,26.3,86.5
2021-07-15,27,85.1
2021-07-16,26.6,85.8
2021-07-17,25.2,86.9
2021-07-18,26.3,84.6
2021-07-19,27,83.1
2021-07-20,26.8,85.6
2021-07-21,27.1,84.1
2021-07-22,25.9,84.1
2021-07-23,26.3,84.3
2021-07-24,26.6,86
2021-07-25,26.4,84.9
2021-07-26,27.3,84.1
2021-07-27,27.6,81
2021-07-28,27.1,78
2021-07-29,27.4,79.9
2021-07-30,28.4,80.5
2021-07-31,28.4,83
2021-08-01,27.7,86.1
2021-08-02,26.5,89.8
2021-08-03,27.9,83.8
2021-08-04,29.2,75.6
2021-08-05,29.1,71.8
2021-08-06,27.1,80
2021-08-07,26.5,82.4
2021-08-08,23.7,88.4
2021-08-09,24.3,84.1
2021-08-10,23.6,84.6
2021-08-11,24.1,84
2021-08-12,24.2,84.6
2021-08-13,23.8,82.6
2021-08-14,22.7,84
2021-08-15,22.1,81.5
2021-08-16,22.7,80.3
2021-08-17,21.6,87.1
2021-08-18,22,87.8
2021-08-19,22.9,82.8
2021-08-20,23.6,78.9
2021-08-21,23.6,83.8
2021-08-22,27.5,54.9
2021-08-23,23.2,75.3
2021-08-24,21.2,97.1
2021-08-25,22.1,94
2021-08-26,24.4,80.8
2021-08-27,24.4,63
2021-08-28,25.8,55.5
2021-08-29,24.8,61.1
2021-08-30,23.8,69
2021-08-31,21.1,81.1
2021-09-01,19.1,96.5
2021-09-02,21.2,84.4
2021-09-03,21.3,77.6
2021-09-04,21.2,75.6
2021-09-05,21.1,86.3
2021-09-06,22.5,76.6
2021-09-07,19.1,94.6
2021-09-08,20.3,89
2021-09-09,21.8,83.8
2021-09-10,22.9,78.5
2021-09-11,24.8,63.1
2021-09-12,22.3,73.9
2021-09-13,21.8,78.8
2021-09-14,21.4,78.4
2021-09-15,21.7,74.1
2021-09-16,20.7,78.1
2021-09-17,21.3,82.5
2021-09-18,21.2,83.8
2021-09-19,20.8,80.4
2021-09-20,21.4,79.9
2021-09-21,22.5,74.8
2021-09-22,22.8,53.6
2021-09-23,21.4,59.1
2021-09-24,19.7,82.3
2021-09-25,18.2,96
