date,변수X,전체평균
2022-05-28,65066797.01,14770849.28
2022-05-29,65395093.52,15065371.82
2022-05-30,49750945.36,10100755.83
2022-05-31,44402430.85,6331065.757
2022-06-01,46756754.61,7631940.926
2022-06-02,44886535.91,7452113.968
2022-06-03,58235068.12,13942577.15
2022-06-04,65017732.79,14014119.89
2022-06-05,65345781.75,14299500.39
2022-06-06,49713430.2,9522428.657
2022-06-07,44368948.79,5895432.818
2022-06-08,46721497.25,7149424.412
2022-06-09,44852688.8,6978057.568
2022-06-10,58191155.44,13227677.75
2022-06-11,64968705.57,13298268.17
2022-06-12,65296507.16,13574728.82
2022-06-13,49675943.33,8978062.838
2022-06-14,44335491.98,5488312.977
2022-06-15,46686266.47,6697062.956
2022-06-16,44818867.22,6533729.369
2022-06-17,58147275.86,12551397.41
2022-06-18,64919715.32,12620961.48
2022-06-19,65247269.73,12888724.08
2022-06-20,49638484.73,8465600.777
2022-06-21,44302060.39,5107859.874
2022-06-22,46651062.27,6272956.08
2022-06-23,44785071.14,6117252.169
2022-06-24,58103429.37,11911533.88
2022-06-25,64870762.02,11980007.59
2022-06-26,65198069.42,12239293.02
2022-06-27,49601054.37,7983113.911
2022-06-28,44268654.02,4752347.743
2022-06-29,46615884.6,5875325.454
2022-06-30,44751300.55,5726869.495
2022-07-01,58059615.95,11306017.39
2022-07-02,64821845.62,11373345.83
2022-07-03,65148906.22,11624373.61
2022-07-04,49563652.24,7528794.272
2022-07-05,44235272.83,4420163.398
2022-07-06,46580733.47,5502506.807
2022-07-07,44717555.42,5360937.687
2022-07-08,58015835.56,10732902.16
2022-07-09,64772966.11,10799038.76
2022-07-10,65099780.09,11042026.61
2022-07-11,49526278.31,7100946.744
2022-07-12,44201916.82,4109798.745
2022-07-13,46545608.84,5152942.457
2022-07-14,44683835.73,5017918.463
2022-07-15,57972088.19,10190358.67
2022-07-16,64724123.46,10255264.47
2022-07-17,65050691,10490427.94
2022-07-18,49488932.57,6697981.738
2022-07-19,44168585.96,3819843.821
2022-07-20,46510510.69,4825174.308
2022-07-21,44650141.48,4696372.007
2022-07-22,57928373.8,9676666.36
2022-07-23,64675317.64,9740309.301
2022-07-24,65001638.93,9967861.453
2022-07-25,49451614.98,6318408.405
2022-07-26,44135280.23,3548980.3
2022-07-27,46475439.02,4517837.332
2022-07-28,44616472.63,4394950.511
2022-07-29,57884692.38,9190206.794
2022-07-30,64626548.62,9252561.105
2022-07-31,64952623.85,9472712.238
2022-08-01,49414325.54,5960828.284
2022-08-02,44101999.62,3295975.439
2022-08-03,46440393.78,4229653.48
2022-08-04,44582829.17,4112392.165
2022-08-05,57841043.89,8729457.301
2022-08-06,64577816.38,8790502.921
2022-08-07,64903645.72,9003460.316
2022-08-08,49377064.21,5623929.378
2022-08-09,44068744.1,3059676.423
2022-08-10,46405374.98,3959426.011
2022-08-11,44549211.07,3847515.531
2022-08-12,57797428.32,8292985.012
2022-08-13,64529120.89,8352707.062
2022-08-14,64854704.53,8558674.766
2022-08-15,49339830.98,5306480.619
2022-08-16,44035513.66,2839005.106
2022-08-17,46370382.58,3706034.195
2022-08-18,44515618.33,3599214.316
2022-08-19,57753845.64,7879441.297
2022-08-20,64480462.11,7937829.585
2022-08-21,64805800.25,8137008.232
2022-08-22,49302625.83,5007326.701
2022-08-23,44002308.27,2632953.097
2022-08-24,46335416.57,3468428.368
2022-08-25,44482050.92,3366452.471
2022-08-26,57710295.82,7487556.552
2022-08-27,64431840.02,7544605.122
2022-08-28,64756932.84,7737191.777
2022-08-29,49265448.73,4725383.247
2022-08-30,43969127.93,2440577.175
2022-08-31,46300476.92,3245625.323
2022-09-01,44448508.82,3148259.638
2022-09-02,57666778.84,7116135.331
2022-09-03,64383254.6,7171842.047
2022-09-04,64708102.28,7358030.077
2022-09-05,49228299.67,4459632.311
2022-09-06,43935972.6,2260995.016
2022-09-07,46265563.62,3036704.003
2022-09-08,44414992.01,2943726.887
2022-09-09,57623294.68,6764051.785
2022-09-10,64334705.82,6818417.95
2022-09-11,64659308.54,6998396.913
2022-09-12,49191178.62,4209118.153
2022-09-13,43902842.28,2093381.203
2022-09-14,46230676.65,2840801.482
2022-09-15,44381500.48,2752002.737
2022-09-16,57579843.31,6430245.401
2022-09-17,64286193.64,6483275.402
2022-09-18,64610551.59,6657230.969
2022-09-19,49154085.56,3972943.313
2022-09-20,43869736.94,1936963.505
2022-09-21,46195815.98,2657109.214
2022-09-22,44348034.2,2572289.453
2022-09-23,57536424.7,6113717.009
2022-09-24,64237718.05,6165417.996
2022-09-25,64561831.41,6333531.876
2022-09-26,49117020.47,3750264.927
2022-09-27,43836656.56,1791019.405
2022-09-28,46160981.6,2484869.526
2022-09-29,44314593.16,2403839.57
2022-09-30,57493038.83,5813525.046
2022-10-01,64189279.01,5863906.635
2022-10-02,64513147.97,6026356.53
2022-10-03,49079983.33,3540291.284
2022-10-04,43803601.12,1654872.853
2022-10-05,46126173.49,2323372.347
2022-10-06,44281177.33,2245952.667
2022-10-07,57449685.67,5528782.061
2022-10-08,64140876.49,5577856.06
2022-10-09,64464501.24,5734815.626
2022-10-10,49042974.11,3342278.622
2022-10-11,43770570.62,1527891.244
2022-10-12,46091391.62,2171952.153
2022-10-13,44247786.71,2097972.335
2022-10-14,57406365.21,5258651.437
2022-10-15,64092510.47,5306431.597
2022-10-16,64415891.19,5458070.426
2022-10-17,49005992.81,3155528.116
2022-10-18,43737565.02,1409482.589
2022-10-19,46056635.98,2029985.111
2022-10-20,44214421.26,1959283.356
2022-10-21,57363077.41,5002344.329
2022-10-22,64044180.93,5048846.113
2022-10-23,64367317.8,5195329.725
2022-10-24,48969039.39,2979383.065
2022-10-25,43704584.3,1299092.882
2022-10-26,46021906.56,1896886.41
2022-10-27,44181080.97,1829309.069
2022-10-28,57319822.26,4759116.783
2022-10-29,63995887.82,4804357.156
2022-10-30,64318781.03,4945847.003
2022-10-31,48932113.84,2813226.27
2022-11-01,43671628.46,1196203.634
2022-11-02,45987203.31,1772107.774
2022-11-03,44147765.82,1707508.901
2022-11-04,57276599.72,4528267.052
2022-11-05,63947631.14,4572264.292
2022-11-06,64270280.86,4708917.766
2022-11-07,48895216.13,2656477.571
2022-11-08,43638697.47,1100329.571
2022-11-09,45952526.24,1655135.124
2022-11-10,44114475.79,1593376.066
2022-11-11,57233409.77,4309133.072
2022-11-12,63899410.84,4351906.588
2022-11-13,64221817.26,4483877.046
2022-11-14,48858346.24,2508591.546
2022-11-15,43605791.31,1011016.487
2022-11-16,45917875.32,1545486.412
2022-11-17,44081210.86,1486435.408
2022-11-18,57190252.39,4101090.093
2022-11-19,63851226.9,4142660.268
2022-11-20,64173390.21,4270097.064
2022-11-21,48821504.15,2369055.361
2022-11-22,43572909.96,927839.2398
2022-11-23,45883250.52,1442709.577
2022-11-24,44047971.02,1386241.398
2022-11-25,57147127.56,3903548.47
2022-11-26,63803079.3,3943936.511
2022-11-27,64124999.68,4066985.031
2022-11-28,48784689.85,2237386.755
2022-11-29,43540053.41,850399.8731
2022-11-30,45848651.83,1346380.65
2022-12-01,44014756.24,1292376.243
2022-12-02,57104035.24,3715951.577
2022-12-03,63754968,3755179.386
2022-12-04,64076645.63,3873981.089
