금액,이용횟수
3024225,57
3224198,53
3677789,62
2204863,44
2013417,56
2552697,54
1579992,32
2188665,41
1819822,35
993426,15
341299,5
64610,1
43120,1
101000,2
81680,4
1057260,14
486085,21
580440,23
1794586,34
4431397,50
2679706,70
2875833,57
2568983,44
952947,47
3158093,65
3629682,49
3182310,65
2514590,66
1948521,58
2144479,46
2525452,40
1464791,31
1679594,32
838630,10
347530,6
263200,3
648140,2
0,0
879745,4
312290,9
1299310,20
1231609,23
1840358,31
3245198,62
2181722,76
4300238,63
2564767,48
2140962,56
3213137,51
2950490,49
4432147,64
3933048,65
1981080,54
1712214,36
1308706,38
2353073,49
952900,12
1473478,19
710381,13
581680,4
77500,3
142370,4
164240,4
408610,12
688228,24
3179650,30
3690416,37
2714979,57
2570707,66
2144045,55
2205654,50
2702559,50
1481551,45
2672814,59
6632351,73
1991480,60
2840947,54
910871,30
1183781,37
1912685,38
1018354,21
1214413,17
210960,5
65293,3
69920,1
1500,1
26810,2
670107,23
768930,14
1164238,27
864159,30
1975560,48
1143160,49
1835122,53
1977607,50
2076988,51
2117222,45
6891522,59
1575780,43
2445130,66
1571646,48
2755629,35
1538710,22
1744081,34
877162,16
2286752,7
65710,4
48470,3
0,0
0,0
34200,1
717152,16
527103,11
1182538,23
2732197,45
2580020,58
15623688,51
5313184,58
2412700,48
2217310,55
2431300,58
4741101,71
1955170,69
2307571,68
2172338,56
2433525,38
829265,23
1202212,24
2085695,28
239500,5
69550,3
340250,7
0,0
0,0
17010,1
757991,12
418750,7
1888408,25
1801069,38
2749112,56
2806018,63
2545355,55
6061170,82
4640415,81
4648822,74
6531932,70
3732928,80
3947303,58
3853138,52
1861991,38
2109211,36
930594,21
697485,12
846703,19
257700,6
219948,4
148060,5
98143,2
330550,3
100490,9
249037,8
1213235,18
2486020,45
3748629,64
3720463,75
6367939,70
17365803,54
4595802,63
5379983,75
3830596,78
2730370,70
4178202,71
3221198,54
2015834,46
1581675,32
1783441,35
7232675,101
3251710,45
726440,15
656394,5
250950,5
149582,4
805034,12
874947,32
1545176,31
2486743,47
3679175,55
6981570,69
24941697,86
4235434,84
3367979,60
7573473,56
3402505,78
4181405,74
2536887,58
2910292,80
5872851,75
4943927,78
3493749,69
5883070,75
1861896,34
1044990,12
377834,6
85830,2
12030,2
104920,3
107280,6
524153,16
1018169,27
2210289,31
1441069,40
2390833,60
2995800,67
3092783,61
3452552,65
5434338,55
3148290,45
2295060,49
2208530,73
2849336,63
2752671,50
3508345,53
5045684,48
1855344,34
2754157,28
746325,14
314324,9
23159,1
532485,5
74418,4
242062,8
522330,12
1304185,36
1187774,34
1958809,36
2227086,51
6477288,77
10682787,77
3211084,47
2429708,46
2382612,44
3304879,63
2636936,79
1878274,58
3193499,66
6273078,50
2165154,38
2929340,39
1233570,20
1104288,19
262770,7
185500,3
107919,3
353210,5
241184,4
569389,20
1295915,24
871747,34
1591131,42
4431596,64
2410409,60
1951697,58
2038912,52
4038117,45
3233903,42
2399888,66
2789070,54
3312425,79
2247419,54
1472453,37
2139664,42
2634251,28
1677662,35
400290,13
150290,3
224810,6
218010,4
131440,3
458330,12
154057,12
1098941,35
1672327,40
10556261,55
2734501,56
6209906,84
2391947,84
3660163,49
4461599,69
3104802,57
4473577,67
3085741,65
1967046,58
1995544,56
1152574,37
1387164,30
1370307,22
960133,22
362193,10
203073,5
202997,6
0,0
228600,2
15850,1
338630,13
310172,13
2028166,22
1675900,42
2496610,56
2944878,72
30903485,74
2640440,73
4472276,61
6364955,73
2877327,71
3464179,75
1645495,42
3880077,60
1075178,29
1401264,25
2928883,34
852944,21
1588740,20
2158830,6
284647,4
0,0
35920,2
0,0
264240,13
856588,14
1108724,22
1764271,30
2690110,41
2009135,60
4361281,75
4136159,80
7122410,72
4470160,77
4974280,82
2707696,72
2541017,66
1958950,43
1997794,40
1640111,36
2702334,39
796078,13
867055,16
3105993,30
78160,1
129655,5
71600,2
0,0
419630,15
854035,25
1271604,30
2847332,113
4183651,121
1730018,100
2919040,80
3428577,51
1563785,54
2420188,90
4049159,70
2862179,61
3485216,66
3111664,48
1676808,32
2017270,41
1609807,39
1904080,12
805183,17
287512,6
7580,2
107250,1
32280,4
342539,3
224964,14
883951,32
948411,26
1271726,44
2160753,52
2620597,75
2469842,61
1776275,40
3831886,80
2472893,63
1631714,40
4184574,58
1978204,44
1672310,43
2498045,47
882100,27
2576230,36
1226747,26
620832,12
321620,7
155000,3
175770,2
166020,4
212212,8
357270,13
604865,19
1705815,36
1675430,47
23219495,93
6889401,80
2702606,68
1608898,53
2814505,58
3310105,75
3100346,83
5290331,83
4706806,71
3219211,55
809827,28
1505461,33
1328868,30
575236,18
382846,12
195310,8
100,1
70100,3
15920,1
145674,3
183034,8
293000,9
745848,17
1689659,40
5397658,40
2060790,50
2587221,49
3020765,54
1675358,50
2143422,50
1953830,46
2014342,69
1901155,38
1870383,44
2585203,33
720859,30
1956992,20
996920,14
294882,8
266970,8
151570,2
200,2
101600,1
31530,2
94755,8
226820,9
218000,5
899326,21
654082,22
679920,28
1308026,42
1042809,37
1945153,41
968800,26
1625780,37
1598944,35
1033301,33
1173960,44
888770,28
1745828,26
931194,24
1411954,23
471100,8
0,0
176500,1
31570,2
66490,1
111420,4
334867,11
267121,7
904370,10
1300699,31
6967414,60
2327608,58
2303545,59
2421896,61
7767371,77
8525857,80
3648727,77
7013966,69
