forecast
49187922.52230398
48980260.62471151
73889977.55811198
70159371.3885158
68338804.74672928
57508332.617793955
48684333.6226515
49368143.87220368
49149537.904947594
74048975.35509926
70308713.93118633
68479078.35726921
57640088.013557605
48808088.07829016
49484383.25049747
49258718.56431374
74151525.9412655
70405037.06006368
68569552.1956311
57725067.763731174
48887907.37268857
49559355.461468294
49329138.03444583
74217669.13898464
70467163.66505384
68627906.11834276
57779878.10297918
48939389.3150993
49607711.12630717
49374557.26714211
74260330.25646886
